,Title,Location,Price,Details,city_Abbottabad,city_Abdul_Hakim,city_Ahmedpur_East,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi
35,Askari Tower 3 Brand- New Apartment For Sale In Dha Phase 3 Islamabad,"DHA Defence Phase 3, DHA Defence",0.012376237623762377,If you're looking for a luxurious a,0,0,0,1,0,0,0
36,One kanal Brand-new house for sale in DHA phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",0.03217821782178218,If you're looking for a luxurious a,0,0,0,1,0,0,0
37,1 kanal House Available For sale in dha phase 2,"DHA Defence Phase 2, DHA Defence",0.0,"About the property
6)Bedrooms With",0,0,0,1,0,0,0
38,7 Marla Brand New 1.5 Storey house for sale in Jinnah Garden Phase 1 Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",0.008250825082508252,"Welcome to your Dream home!
This be",0,0,0,1,0,0,0
39,D-17 MVHS 2 bed flat available for sale in main markaz,"D-17, Islamabad",0.0,D-17 MVHS 2 bed flat available for,0,0,0,1,0,0,0
40,D-17 MVHS main markaz 2 bed flat available for sale,"D-17, Islamabad",0.0,D-17 MVHS main markaz 2 bed flat av,0,0,0,1,0,0,0
41,D17/2 MVHS J7 Building 1 Bed Flat Available For Sale,"D-17, Islamabad",0.0004290429042904291,D17/2 MVHS J7 building 1 bed flat a,0,0,0,1,0,0,0
42,6.6 Corner Full House For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",0.0005363036303630363,2560 Corner Full House For Sale in,0,0,0,1,0,0,0
43,1 Bed Flat For Sale In Faisal Town Block A,"Faisal Town - F-18, Islamabad",0.0005775577557755776,1 Bed Flat For Sale in Faisal TOWN,0,0,0,1,0,0,0
44,D17/2 MVHS brand new MDR good location house available for sale,"D-17, Islamabad",0.0,D17/2 MVHS brand new MDR beautiful,0,0,0,1,0,0,0
45,10 Marla Unique Designed House In Top Notch Society Bahria Enclave,"Bahria Enclave - Sector J, Bahria Enclave",0.00047029702970297034,Letting You Find Homes With Perfect,0,0,0,1,0,0,0
46,D17 MVHS main markaz 1 bed flat available for sale,"D-17, Islamabad",0.020627062706270627,D17 MVHS 1 bed flat available for s,0,0,0,1,0,0,0
47,D17/2 MVHS 2 bed flat available for sale main markaz,"D-17, Islamabad",0.0,D-17/2 MVHS 2 bed flat available fo,0,0,0,1,0,0,0
48,10 Marla Top Heighted Back Open Brand New House For Sale,"Bahria Enclave - Sector C3, Bahria Enclave",0.0002887788778877888,"Aasalam u Alaikum 

We Help You Fin",0,0,0,1,0,0,0
49,5 Marla Brand New House Available For Sale,"Bahria Enclave - Sector N, Bahria Enclave",0.0005280528052805281,We Help You To Find Property With P,0,0,0,1,0,0,0
50,272 Sq Yard Villa Available For Sale At Good Location Of Bahria Town Karachi,"Bahria Town - Precinct 30, Bahria Town Karachi",0.0,"COUNSTRUCT YOUR 272,SQYD PRECINT 30",0,0,0,0,1,0,0
51,300 yards Bungalow with Basement Available for Sale on Booking,"DHA Phase 6, DHA Defence",0.020627062706270627,300 yards Beautiful House is availa,0,0,0,0,1,0,0
52,Aesthetically Designed Fully Renovated Bungalow,"DHA Phase 4, DHA Defence",0.08168316831683169,"Newly Renovated Like Brand New!

50",0,0,0,0,1,0,0
53,"Precint 31, 235sq yds Villa Available For Sale At Good Location of Bahria Town Karachi","Bahria Town - Precinct 31, Bahria Town Karachi",0.009075907590759076,235 sq yds Villa In Just Rs:160lacs,0,0,0,0,1,0,0
54,dha phase 300 sq yard bunglow for sale 2+3Bedroom drawing dining kitchen cabinets out class solid construction work solid wood work important tile important fixtures fitting owner built,"DHA Phase 4, DHA Defence",0.037128712871287134,dha phase 300 sq yard bunglow for s,0,0,0,0,1,0,0
55,2 Bed Flat For Sale At Court Regency,"Callachi Cooperative Housing Society, Karachi",0.01736798679867987,Beautiful Brand New apartment for s,0,0,0,0,1,0,0
56,Flat For sale in Saima Twin Towers,"KDA Scheme 1, Karachi",0.8457095709570958,Beautiful Spacious Apartment for sa,0,0,0,0,1,0,0
57,Brand new apartment at Al Raheem Corner,"Shaheed Millat Road, Karachi",0.0,Beautiful Brand New apartment for s,0,0,0,0,1,0,0
58,3 Bedrooms Luxury Villa for Sale in Bahria Town Precinct 10a,"Bahria Town - Precinct 10-A, Bahria Town Karachi",0.0,Bahria Town is a pioneer in Pakista,0,0,0,0,1,0,0
59,Prime Location 500 Square Yards House For sale Is Available In Falcon Complex New Malir,"Falcon Complex New Malir, Malir",0.0,Practicality as well as design have,0,0,0,0,1,0,0
60,Elegant 272 sq yards Villa precint 1 Bahria town,"Bahria Town - Precinct 1, Bahria Town Karachi",0.053630363036303634,The key features of Precint 1 272 s,0,0,0,0,1,0,0
61,Brand new 152 sq yards villa West open 10B bahria,"Bahria Town - Precinct 10-B, Bahria Town Karachi",0.0,"*Investment Opportunity*

*P-10B vi",0,0,0,0,1,0,0
62,Flat For sale In North Nazimabad - Block H Karachi,"North Nazimabad - Block H, North Nazimabad",0.004125412541254126,"3rd floor flat
2 bedrooms
Drawing r",0,0,0,0,1,0,0
63,Buy your ideal 700 Square Feet Flat in a prime location of Karachi,"North Nazimabad - Block L, North Nazimabad",0.02227722772277228,"Ali Ali Heights 
1st floor flat 
2",0,0,0,0,1,0,0
64,Brand New house for sale 400 sq yards Double Store 9 bed dd,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",0.0007013201320132013,"Gulistan e jauhar
400 sq yards Hous",0,0,0,0,1,0,0
65,URGENT SALE CHANCE DEAL,"Kings Classic, Gulistan-e-Jauhar - Block 7",0.0004950495049504951,"CHANCE DEAL URGENT SALE
BRAND NEW P",0,0,0,0,1,0,0
66,CHANCE DEALb URGENT SALE,"Sanober Twin Tower, Saadi Road",0.0,"URGENT FOR SALE 
BRAND NEW PROJECT",0,0,0,0,1,0,0
